Unnamed: 0,Unnamed: 1,County Growth Projections Population in Group Quarters and Households,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
Population in Group Quarters (1),,,,,,,,,,,,,,,,,,
,Estimate,Estimate,Projections,,,,,,,,Share of Total Population (2),,,,,,,
COUNTY,2020,2021,2025,2030.0,2035.0,2040.0,2045.0,2050.0,,,2020,2021.0,2025.0,2030.0,2035.0,2040.0,2045.0,2050.0
Delaware,2638,2707,3030,3403.0,3813.0,4182.0,4530.0,4878.0,,,0.01226623020338321,0.01226329618555767,0.012266411892347055,0.012263770163324732,0.012265853446695167,0.012266915407562544,0.012266217537170972,0.012265619303137815
Fairfield,3038,3071,3225,3402.0,3600.0,3773.0,3935.0,4097.0,,,0.019064113907766838,0.019066954750906473,0.019062198920695342,0.019064270463830003,0.019065776930409915,0.019062487369144336,0.019064553012538517,0.019066455696202533
Fayette,321,320,326,333.0,339.0,346.0,352.0,359.0,,,0.011092297591485539,0.011070366013976337,0.011081274006594378,0.011095931491786346,0.011066135666253182,0.01108263933376041,0.011072664359861591,0.011093943139678616
Franklin,28794,28737,30231,31470.0,33052.0,34242.0,35236.0,36229.0,,,0.0217475206059155,0.021747158725425944,0.02174693391323239,0.02174709244069132,0.021746968767847225,0.021747152045249726,0.021747502826755676,0.021747221045023933
Hocking,472,473,471,468.0,466.0,462.0,458.0,454.0,,,0.01685774491946141,0.016834537495106237,0.01684248167352047,0.01685757510265831,0.016866336096130877,0.01684410091876914,0.01684442809856565,0.01684413608874708
Knox,3737,3745,3820,3890.0,3990.0,4056.0,4106.0,4155.0,,,0.059539552298255395,0.05954179054644896,0.05954143741135028,0.05953565251993449,0.05954068613552594,0.059537614678899085,0.05954435372768537,0.05953575010746525
Licking,3959,3998,4231,4448.0,4808.0,5004.0,5119.0,5234.0,,,0.02215692858741885,0.022161739679935254,0.022161694995154912,0.02216132728812715,0.022160562679178843,0.022157966284821085,0.022158542444928295,0.0221589995004276
Logan,489,489,489,493.0,496.0,500.0,502.0,505.0,,,0.010615434711820254,0.01062235255783643,0.010608525870484869,0.010623397332299007,0.010606676218377777,0.010625185940753963,0.0106052603781557,0.010606792547940601
Madison,5199,5265,5515,5793.0,6099.0,6373.0,6632.0,6890.0,,,0.11863633251945326,0.11861848330554679,0.1186353174005636,0.11862879610099727,0.11862989185404185,0.11862040725161002,0.11862981844199982,0.11862130707251567
Marion,5682,5676,5678,5664.0,5672.0,5656.0,5627.0,5599.0,,,0.08692991447760966,0.08693388062673263,0.08693388859968766,0.08692449355432781,0.08693253226251418,0.08693647304754146,0.0869276401161713,0.08693424423569598
Morrow,274,275,285,295.0,308.0,317.0,324.0,332.0,,,0.007836631964306144,0.007823390515205825,0.00782429649965683,0.007831997026496043,0.007829579541410342,0.007823490214467287,0.007815892314372557,0.007832220623274906
Perry,338,338,351,357.0,364.0,369.0,373.0,377.0,,,0.009537515166906516,0.009531866892272983,0.009522775984155837,0.009541627689429373,0.00954603865621148,0.009544255341161864,0.009539154007467649,0.009534166203024632
Pickaway,4582,4637,4874,5150.0,5449.0,5722.0,5983.0,6243.0,,,0.07815378317527462,0.07815212445013736,0.07816534359714537,0.07815938443793538,0.07815996327959149,0.07815658635196415,0.07816317199033249,0.07815766741364849
Ross,5876,5869,5846,5816.0,5791.0,5761.0,5727.0,5694.0,,,0.07632655712151717,0.07632882912174377,0.07632850241545894,0.07632145294210278,0.07632189361589962,0.07632687670579506,0.07631929637526652,0.07632503150049597
Union,3416,3519,3596,3927.0,4275.0,4602.0,4920.0,5237.0,,,0.054156031517034735,0.054162626402548826,0.05415010239730153,0.054161781946072685,0.054159857093991105,0.05415200687196263,0.054158777684822336,0.05415438705340986
Total,68815,69119,71968,74909.0,78522.0,81365.0,83824.0,86283.0,,,0.028422338227270492,0.028431899637891157,0.028164042397903977,0.027983216570050873,0.027773965577006062,0.027631007447620284,0.02752068877891061,0.027417444680047195
,,,,,,,,,,,,,,,,,,
Population in Households,,,,,,,,,,,,,,,,,,
,Estimate,Estimate,Projections,,,,,,,,Share of Total Population,,,,,,,
COUNTY,2020,2021,2025,2030.0,2035.0,2040.0,2045.0,2050.0,,,2020,2021.0,2025.0,2030.0,2035.0,2040.0,2045.0,2050.0
Delaware,212424,218033,243986,274081.0,307050.0,336735.0,364777.0,392819.0,,,0.9877337697966168,0.9877367038144423,0.987733588107653,0.9877362298366753,0.9877341465533048,0.9877330845924375,0.9877337824628291,0.9877343806968621
Fairfield,156319,157993,165958,175047.0,185220.0,194155.0,202469.0,210783.0,,,0.9809358860922331,0.9809330452490935,0.9809378010793046,0.98093572953617,0.9809342230695901,0.9809375126308557,0.9809354469874615,0.9809335443037974
