Unnamed: 0,Unnamed: 1,County Growth Projections Jobs,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
Total Jobs,,,,,,,,,,,,,,,,,,
,Estimate,Estimate,Projections,,,,,,,,,,,,,,,
COUNTY,2020,2021,2025,2030.0,2035.0,2040.0,2045.0,2050.0,,,,,,,,,,
Delaware,106696,109600,121218,132462.0,148477.0,161827.0,174856.0,188531.0,,,,,,,,,,
Fairfield,51509,51897,53452,55158.0,58409.0,61560.0,64759.0,67829.0,,,,,,,,,,
Fayette,12848,12881,13011,13225.0,13448.0,13657.0,13916.0,14219.0,,,,,,,,,,
Franklin,824085,829124,849281,873481.0,918793.0,956545.0,988822.0,1016705.0,,,,,,,,,,
Hocking,7768,7725,7544,7360.0,7233.0,7182.0,7171.0,7139.0,,,,,,,,,,
Knox,23528,23493,23348,23291.0,23697.0,24218.0,24824.0,25366.0,,,,,,,,,,
Licking,70505,72808,82013,87277.0,95383.0,99471.0,102599.0,105352.0,,,,,,,,,,
Logan,21357,21281,20975,20833.0,20845.0,21051.0,21407.0,21736.0,,,,,,,,,,
Madison,19474,19646,20333,20996.0,21976.0,22952.0,23895.0,24862.0,,,,,,,,,,
Marion,26815,26665,26071,25845.0,26169.0,26446.0,26446.0,26287.0,,,,,,,,,,
Morrow,7488,7499,7545,7576.0,7760.0,7965.0,8195.0,8459.0,,,,,,,,,,
Perry,7150,7159,7200,7162.0,7214.0,7306.0,7423.0,7550.0,,,,,,,,,,
Pickaway,15997,16165,16826,17584.0,18660.0,19677.0,20616.0,21474.0,,,,,,,,,,
Ross,31197,31045,30435,29955.0,29688.0,29667.0,29650.0,29622.0,,,,,,,,,,
Union,38441,38627,39366,41725.0,45151.0,48894.0,52993.0,57010.0,,,,,,,,,,
Total,1264858,1275615,1318618,1363930.0,1442903.0,1508418.0,1567572.0,1622141.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Office Jobs Jobs related to office industries and/or land uses (e.g. finance, headquarters, medical offices)",,,,,,,,,,,,,,,,,,
,Estimate,Estimate,Projections,,,,,,,,Share of Total Jobs (2),,,,,,,
