Unnamed: 0,Unnamed: 1,Unnamed: 2,County Growth Projections Total Population,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44
Total Population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Historic Growth Overview,,,,Projected Growth Overview,,
,1980,1990,2000,2010,2020,2021,2025,,,,,2030,,,,,2035,,,,,2040,,,,,2045,,,,,2050,,,,,,1980 - 2021,,,,2021 - 2050,,
COUNTY,Estimate (1),Estimate,Estimate,Estimate,Estimate,Estimate,Forecast (2),Confidence Limit (upper) (3),Confidence Limit (lower) (3),Confidence Interval (upper) (4),Confidence Interval (lower) (4) ,Forecast,Confidence Limit (upper),Confidence Limit (lower),Confidence Interval (upper),Confidence Interval (lower),Forecast,Confidence Limit (upper),Confidence Limit (lower),Confidence Interval (upper),Confidence Interval (lower),Forecast,Confidence Limit (upper),Confidence Limit (lower),Confidence Interval (upper),Confidence Interval (lower),Forecast,Confidence Limit (upper),Confidence Limit (lower),Confidence Interval (upper),Confidence Interval (lower),Forecast,Confidence Limit (upper),Confidence Limit (lower),Confidence Interval (upper),Confidence Interval (lower),,Growth,% Growth,CAGR (5),,Growth,% Growth,CAGR
Delaware,53840,67482,111759,175099,215062,220740,247016,248441,238464,1425,-8552,277484,287218,256467,9734,-21017,310863,329249,271216,18386,-39647,340917,373888,283357,32971,-57560,369307,420768,293257,51461,-76050,397697,469644,301161,71947,-96536,,166900,3.099925705794948,0.03501288349758891,,176957,0.801653529038688,0.020507617733701355
Fairfield,93678,103823,123485,146417,159357,161064,169183,171704,163990,2521,-5193,178449,188541,164104,10092,-14345,188820,208055,161542,19235,-27278,197928,229705,156843,31777,-41085,206404,253189,150311,46785,-56093,214880,278304,142147,63424,-72733,,67386,0.7193364503939025,0.013305754605838604,,53816,0.3341280484776238,0.00999019038812432
Fayette,27467,27501,28495,29014,28939,28906,29419,29855,28912,436,-507,30011,31216,28691,1205,-1320,30634,32814,28240,2180,-2394,31220,34594,27601,3374,-3619,31790,36534,26802,4744,-4988,32360,38618,25859,6258,-6501,,1439,0.052390140896348344,0.0012462369313659405,,3454,0.11949076316335709,0.0038997881223810094
Franklin,869126,965600,1072018,1166202,1324013,1321414,1390127,1409654,1333445,19527,-56682,1447090,1506988,1327469,59898,-119621,1519844,1617180,1308636,97336,-211208,1574551,1738045,1279131,163494,-295420,1620232,1868239,1240296,248007,-379936,1665914,2006828,1193066,340914,-472848,,452288,0.5203940510351779,0.010271159324551471,,344500,0.260705577510152,0.00802066861083306
Hocking,24304,25594,28262,29478,27999,28097,27965,28660,27122,695,-843,27762,29751,25535,1989,-2227,27629,31239,23571,3610,-4058,27428,33041,21295,5613,-6133,27190,35114,18747,7924,-8443,26953,37429,15958,10476,-10995,,3793,0.1560648452929559,0.003543381601327056,,-1144,-0.04071609068583835,-0.0014323594222954705
Knox,46304,47637,54616,61090,62765,62897,64157,65164,61970,1007,-2187,65339,69227,59572,3888,-5767,67013,74288,56176,7275,-10837,68125,80150,51978,12025,-16147,68957,86702,47091,17745,-21866,69790,93868,41589,24078,-28201,,16593,0.3583491706979959,0.007497972936110431,,6893,0.10959187242634784,0.0035923773554107363
Licking,120981,129006,146268,166705,178680,180401,190915,189312,176808,-1603,-14107,200710,203164,173324,2454,-27386,216962,219200,167658,2238,-49304,225833,237045,160181,11212,-65652,231017,256471,151123,25454,-79894,236202,277319,140644,41117,-95558,,59420,0.49115150312859046,0.009792726836450383,,55801,0.3093164672036186,0.009336600097179515
